VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Esophagus	COVAR	17340	-0.01234	-0.023252	0.011184	0.86507	f6144.4	Never eat sugar	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17340	-0.015128	-0.029356	0.0090233	0.95318	f6144.4	Never eat sugar	1	FALSE	Fallopian Tube
Heart	COVAR	17340	0.0042444	0.0073035	0.0061424	0.24479	f6144.4	Never eat sugar	1	FALSE	Heart
Kidney	COVAR	17340	-0.0074421	-0.013098	0.0061529	0.88676	f6144.4	Never eat sugar	1	FALSE	Kidney
Liver	COVAR	17340	0.0027975	0.0050366	0.0042275	0.25408	f6144.4	Never eat sugar	1	FALSE	Liver
Lung	COVAR	17340	-0.016254	-0.031433	0.0068459	0.9912	f6144.4	Never eat sugar	1	FALSE	Lung
Muscle	COVAR	17340	0.0082922	0.015684	0.00444	0.030916	f6144.4	Never eat sugar	0.803816	FALSE	Muscle
Nerve	COVAR	17340	-0.0018975	-0.0038199	0.0067518	0.61066	f6144.4	Never eat sugar	1	FALSE	Nerve
Ovary	COVAR	17340	-0.0046196	-0.0093662	0.0066708	0.75569	f6144.4	Never eat sugar	1	FALSE	Ovary
Pancreas	COVAR	17340	0.0060289	0.010081	0.0056995	0.14508	f6144.4	Never eat sugar	1	FALSE	Pancreas
Pituitary	COVAR	17340	0.0045307	0.0084468	0.0053803	0.19987	f6144.4	Never eat sugar	1	FALSE	Pituitary
Prostate	COVAR	17340	-0.01075	-0.020399	0.0089279	0.88572	f6144.4	Never eat sugar	1	FALSE	Prostate
Salivary_Gland	COVAR	17340	-0.0048383	-0.009008	0.0070231	0.75456	f6144.4	Never eat sugar	1	FALSE	Salivary Gland
Skin	COVAR	17340	-0.00020089	-0.00038322	0.0065301	0.51227	f6144.4	Never eat sugar	1	FALSE	Skin
Small_Intestine	COVAR	17340	-0.0065662	-0.012078	0.0070282	0.82491	f6144.4	Never eat sugar	1	FALSE	Small Intestine
Spleen	COVAR	17340	-0.0032379	-0.0064183	0.0051002	0.73724	f6144.4	Never eat sugar	1	FALSE	Spleen
Stomach	COVAR	17340	-0.00046205	-0.00083958	0.0088545	0.52081	f6144.4	Never eat sugar	1	FALSE	Stomach
Testis	COVAR	17340	0.0031104	0.0053703	0.003622	0.19525	f6144.4	Never eat sugar	1	FALSE	Testis
Thyroid	COVAR	17340	-0.00029439	-0.00058304	0.0070181	0.51673	f6144.4	Never eat sugar	1	FALSE	Thyroid
Uterus	COVAR	17340	0.0041901	0.0085379	0.0078381	0.29647	f6144.4	Never eat sugar	1	FALSE	Uterus
Vagina	COVAR	17340	-0.013859	-0.026512	0.0081702	0.95508	f6144.4	Never eat sugar	1	FALSE	Vagina
Adipose_Tissue	COVAR	17335	-0.00061777	-0.001213	0.008449	0.52914	f6146.100	No disability benefits	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17335	0.0021956	0.0042389	0.0064674	0.36712	f6146.100	No disability benefits	1	FALSE	Adrenal Gland
Bladder	COVAR	17335	-0.009334	-0.018197	0.01019	0.82017	f6146.100	No disability benefits	1	FALSE	Bladder
Blood	COVAR	17335	0.00058642	0.0010536	0.0038943	0.44015	f6146.100	No disability benefits	1	FALSE	Blood
Blood_Vessel	COVAR	17335	-0.0064624	-0.013113	0.00738	0.80939	f6146.100	No disability benefits	1	FALSE	Blood Vessel
Brain	COVAR	17335	0.016774	0.02913	0.0042965	4.7486e-05	f6146.100	No disability benefits	0.001234636	TRUE	Brain
Breast	COVAR	17335	-0.0047528	-0.0091415	0.009995	0.68279	f6146.100	No disability benefits	1	FALSE	Breast
Cervix_Uteri	COVAR	17335	-0.010044	-0.019736	0.0088843	0.87088	f6146.100	No disability benefits	1	FALSE	Cervix Uteri
Colon	COVAR	17335	0.020882	0.039096	0.0099739	0.01815	f6146.100	No disability benefits	0.4719	FALSE	Colon
Esophagus	COVAR	17335	0.003212	0.0060517	0.010793	0.38301	f6146.100	No disability benefits	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17335	-0.018023	-0.034968	0.0086937	0.98091	f6146.100	No disability benefits	1	FALSE	Fallopian Tube
Heart	COVAR	17335	-0.007568	-0.013023	0.0059597	0.89792	f6146.100	No disability benefits	1	FALSE	Heart
Kidney	COVAR	17335	-0.0038114	-0.0067074	0.0059581	0.73881	f6146.100	No disability benefits	1	FALSE	Kidney
Liver	COVAR	17335	0.003598	0.0064786	0.004077	0.18875	f6146.100	No disability benefits	1	FALSE	Liver
Lung	COVAR	17335	-0.0098577	-0.019062	0.0066426	0.93109	f6146.100	No disability benefits	1	FALSE	Lung
Muscle	COVAR	17335	-0.0018747	-0.003546	0.0042551	0.67024	f6146.100	No disability benefits	1	FALSE	Muscle
Nerve	COVAR	17335	0.0023835	0.0047975	0.0065481	0.35793	f6146.100	No disability benefits	1	FALSE	Nerve
Ovary	COVAR	17335	0.0017763	0.0036009	0.0064224	0.39105	f6146.100	No disability benefits	1	FALSE	Ovary
Pancreas	COVAR	17335	0.0032071	0.0053625	0.0054841	0.27935	f6146.100	No disability benefits	1	FALSE	Pancreas
Pituitary	COVAR	17335	0.0098366	0.018338	0.0052294	0.029994	f6146.100	No disability benefits	0.779844	FALSE	Pituitary
Prostate	COVAR	17335	-0.0081964	-0.015551	0.008691	0.82718	f6146.100	No disability benefits	1	FALSE	Prostate
Salivary_Gland	COVAR	17335	0.0012536	0.0023335	0.0068031	0.4269	f6146.100	No disability benefits	1	FALSE	Salivary Gland
Skin	COVAR	17335	-0.0014752	-0.002814	0.0063112	0.59241	f6146.100	No disability benefits	1	FALSE	Skin
Small_Intestine	COVAR	17335	0.0033801	0.0062173	0.0068091	0.30981	f6146.100	No disability benefits	1	FALSE	Small Intestine
Spleen	COVAR	17335	-0.0083713	-0.016594	0.0049592	0.95429	f6146.100	No disability benefits	1	FALSE	Spleen
Stomach	COVAR	17335	0.00066129	0.0012015	0.0084597	0.46885	f6146.100	No disability benefits	1	FALSE	Stomach
Testis	COVAR	17335	-0.0057753	-0.0099675	0.003498	0.95063	f6146.100	No disability benefits	1	FALSE	Testis
Thyroid	COVAR	17335	0.0066328	0.013135	0.0067992	0.16466	f6146.100	No disability benefits	1	FALSE	Thyroid
Uterus	COVAR	17335	0.0017378	0.0035407	0.0074966	0.40834	f6146.100	No disability benefits	1	FALSE	Uterus
Vagina	COVAR	17335	-0.0041818	-0.0079983	0.0079688	0.70013	f6146.100	No disability benefits	1	FALSE	Vagina
Adipose_Tissue	COVAR	17357	-0.0066805	-0.013124	0.0091859	0.76646	f20116.1	Previous smoker	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17357	-0.0008117	-0.0015676	0.0069254	0.54665	f20116.1	Previous smoker	1	FALSE	Adrenal Gland
Bladder	COVAR	17357	-0.013669	-0.026662	0.010983	0.89336	f20116.1	Previous smoker	1	FALSE	Bladder
Blood	COVAR	17357	0.00090823	0.0016317	0.0042142	0.41468	f20116.1	Previous smoker	1	FALSE	Blood
Blood_Vessel	COVAR	17357	-0.017519	-0.035566	0.0079773	0.98595	f20116.1	Previous smoker	1	FALSE	Blood Vessel
Brain	COVAR	17357	0.022	0.038229	0.004689	1.3649e-06	f20116.1	Previous smoker	3.54874e-05	TRUE	Brain
Breast	COVAR	17357	-0.0087215	-0.016783	0.010885	0.7885	f20116.1	Previous smoker	1	FALSE	Breast
Cervix_Uteri	COVAR	17357	-0.0043552	-0.0085618	0.0096467	0.67417	f20116.1	Previous smoker	1	FALSE	Cervix Uteri
Colon	COVAR	17357	0.011226	0.021026	0.010783	0.14894	f20116.1	Previous smoker	1	FALSE	Colon
Esophagus	COVAR	17357	-0.013819	-0.026047	0.011713	0.88094	f20116.1	Previous smoker	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17357	-0.020301	-0.039413	0.0094217	0.9844	f20116.1	Previous smoker	1	FALSE	Fallopian Tube
Heart	COVAR	17357	0.0061453	0.010579	0.0065371	0.1736	f20116.1	Previous smoker	1	FALSE	Heart
Kidney	COVAR	17357	0.0012792	0.002252	0.0065018	0.42201	f20116.1	Previous smoker	1	FALSE	Kidney
Liver	COVAR	17357	0.0023299	0.0041962	0.0044452	0.3001	f20116.1	Previous smoker	1	FALSE	Liver
Lung	COVAR	17357	-0.015651	-0.030279	0.0071849	0.9853	f20116.1	Previous smoker	1	FALSE	Lung
Muscle	COVAR	17357	0.0043928	0.0083109	0.0046636	0.17312	f20116.1	Previous smoker	1	FALSE	Muscle
Nerve	COVAR	17357	-0.0038988	-0.0078522	0.0071248	0.70788	f20116.1	Previous smoker	1	FALSE	Nerve
Ovary	COVAR	17357	0.0028671	0.005815	0.006964	0.34028	f20116.1	Previous smoker	1	FALSE	Ovary
Pancreas	COVAR	17357	0.0035309	0.005906	0.0059754	0.27729	f20116.1	Previous smoker	1	FALSE	Pancreas
Pituitary	COVAR	17357	0.014851	0.027701	0.0056623	0.0043634	f20116.1	Previous smoker	0.1134484	FALSE	Pituitary
Prostate	COVAR	17357	-0.0099241	-0.01884	0.0094957	0.85201	f20116.1	Previous smoker	1	FALSE	Prostate
Salivary_Gland	COVAR	17357	-9.9188e-05	-0.0001847	0.0074128	0.50534	f20116.1	Previous smoker	1	FALSE	Salivary Gland
Skin	COVAR	17357	-0.0050446	-0.0096251	0.0068217	0.77019	f20116.1	Previous smoker	1	FALSE	Skin
Small_Intestine	COVAR	17357	0.0029707	0.0054666	0.0073793	0.34363	f20116.1	Previous smoker	1	FALSE	Small Intestine
Spleen	COVAR	17357	-0.0029523	-0.0058546	0.0053648	0.70894	f20116.1	Previous smoker	1	FALSE	Spleen
Stomach	COVAR	17357	0.0024228	0.0044041	0.0093337	0.3976	f20116.1	Previous smoker	1	FALSE	Stomach
Testis	COVAR	17357	-0.0048038	-0.0082979	0.0037867	0.8977	f20116.1	Previous smoker	1	FALSE	Testis
Thyroid	COVAR	17357	-0.015684	-0.031074	0.0073557	0.9835	f20116.1	Previous smoker	1	FALSE	Thyroid
Uterus	COVAR	17357	-0.0049238	-0.010038	0.008192	0.72609	f20116.1	Previous smoker	1	FALSE	Uterus
Vagina	COVAR	17357	-0.00067459	-0.0012909	0.0086465	0.53109	f20116.1	Previous smoker	1	FALSE	Vagina
Adipose_Tissue	COVAR	17346	-0.027343	-0.053692	0.010577	0.99513	PXS_T2D	PXS for T2D onset	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17346	0.004002	0.0077268	0.0081192	0.31104	PXS_T2D	PXS for T2D onset	1	FALSE	Adrenal Gland
Bladder	COVAR	17346	-0.041649	-0.081197	0.012739	0.99946	PXS_T2D	PXS for T2D onset	1	FALSE	Bladder
Blood	COVAR	17346	0.00081769	0.001469	0.0048454	0.433	PXS_T2D	PXS for T2D onset	1	FALSE	Blood
Blood_Vessel	COVAR	17346	0.00096769	0.0019637	0.009299	0.45856	PXS_T2D	PXS for T2D onset	1	FALSE	Blood Vessel
Brain	COVAR	17346	0.034209	0.059417	0.0053898	1.1263e-10	PXS_T2D	PXS for T2D onset	2.92838e-09	TRUE	Brain
Breast	COVAR	17346	-0.034438	-0.066237	0.012523	0.99702	PXS_T2D	PXS for T2D onset	1	FALSE	Breast
Cervix_Uteri	COVAR	17346	0.0095842	0.018832	0.011217	0.19644	PXS_T2D	PXS for T2D onset	1	FALSE	Cervix Uteri
Colon	COVAR	17346	-0.014976	-0.02804	0.012509	0.88439	PXS_T2D	PXS for T2D onset	1	FALSE	Colon
Esophagus	COVAR	17346	-0.0082965	-0.015633	0.01358	0.72938	PXS_T2D	PXS for T2D onset	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17346	-0.0052966	-0.010278	0.010997	0.68496	PXS_T2D	PXS for T2D onset	1	FALSE	Fallopian Tube
Heart	COVAR	17346	-0.0051236	-0.0088186	0.0074895	0.75304	PXS_T2D	PXS for T2D onset	1	FALSE	Heart
Kidney	COVAR	17346	-0.02099	-0.036943	0.0075224	0.99736	PXS_T2D	PXS for T2D onset	1	FALSE	Kidney
Liver	COVAR	17346	-0.0057633	-0.010379	0.0051545	0.86823	PXS_T2D	PXS for T2D onset	1	FALSE	Liver
Lung	COVAR	17346	-0.006122	-0.011839	0.0083241	0.76896	PXS_T2D	PXS for T2D onset	1	FALSE	Lung
Muscle	COVAR	17346	-0.00018021	-0.00034092	0.0054067	0.51329	PXS_T2D	PXS for T2D onset	1	FALSE	Muscle
Nerve	COVAR	17346	0.0038024	0.0076542	0.0082238	0.32191	PXS_T2D	PXS for T2D onset	1	FALSE	Nerve
Ovary	COVAR	17346	0.01663	0.033716	0.008142	0.02056	PXS_T2D	PXS for T2D onset	0.53456	FALSE	Ovary
Pancreas	COVAR	17346	-0.0025739	-0.0043047	0.0069133	0.64517	PXS_T2D	PXS for T2D onset	1	FALSE	Pancreas
Pituitary	COVAR	17346	0.029282	0.054597	0.0065621	4.0816e-06	PXS_T2D	PXS for T2D onset	0.0001061216	TRUE	Pituitary
Prostate	COVAR	17346	-0.013348	-0.025329	0.010935	0.88889	PXS_T2D	PXS for T2D onset	1	FALSE	Prostate
Salivary_Gland	COVAR	17346	-0.0178	-0.033136	0.0085377	0.98145	PXS_T2D	PXS for T2D onset	1	FALSE	Salivary Gland
Skin	COVAR	17346	-0.0008641	-0.0016481	0.0078788	0.54367	PXS_T2D	PXS for T2D onset	1	FALSE	Skin
Small_Intestine	COVAR	17346	-0.018317	-0.033691	0.0084977	0.98443	PXS_T2D	PXS for T2D onset	1	FALSE	Small Intestine
Spleen	COVAR	17346	-0.0078609	-0.015584	0.0061942	0.89779	PXS_T2D	PXS for T2D onset	1	FALSE	Spleen
Stomach	COVAR	17346	-0.0067736	-0.012308	0.010743	0.73582	PXS_T2D	PXS for T2D onset	1	FALSE	Stomach
Testis	COVAR	17346	0.0049956	0.0086269	0.004358	0.12584	PXS_T2D	PXS for T2D onset	1	FALSE	Testis
Thyroid	COVAR	17346	0.0013348	0.0026436	0.0085541	0.438	PXS_T2D	PXS for T2D onset	1	FALSE	Thyroid
Uterus	COVAR	17346	0.0022274	0.0045388	0.0095133	0.40744	PXS_T2D	PXS for T2D onset	1	FALSE	Uterus
Vagina	COVAR	17346	-0.0030431	-0.0058209	0.0099438	0.62021	PXS_T2D	PXS for T2D onset	1	FALSE	Vagina
