Trait	n
Reticulocyte fraction of red cells	20
Total lipid levels in HDL	20
Apolipoprotein E (isoform E2) levels	19
Apolipoprotein E (isoform E3) levels	19
Brain shape (segment 1)	19
Caffeine consumption from coffee or tea	19
Cholesteryl ester levels in medium HDL	19
Cognitive function	19
Coronary heart disease	19
F-fatty food liking (derived food-liking factor)	19
F-fatty/salty food liking (derived food-liking factor)	19
Fatty acid(20:3)_[M-H]1- levels	19
Gamma glutamyl transferase levels	19
Hippocampal volume	19
Insomnia symptoms (never/rarely vs. usually)	19
Loneliness	19
Migraine	19
Osteoarthritis of the hip or knee	19
Parental longevity (father's age at death or father's attained age)	19
Parental longevity (mother's age at death)	19
Parkinson's disease or first degree relation to individual with Parkinson's disease	19
Prostate cancer	19
Rheumatoid arthritis	19
Sardines liking	19
Subcortical volume (min-P)	19
Subcutaneous adipose tissue	19
Urolithiasis	19
Anxiety	18
Bitter beverage consumption	18
Body mass index x sex x age interaction (4df test)	18
Caffeine metabolism (plasma 1,3,7-trimethylxanthine (caffeine) level)	18
Cerebrospinal fluid p-Tau181p:AB1-42 ratio	18
Cholelithiasis	18
Cholesterol levels in medium HDL	18
Cholesterol levels in very large VLDL	18
Concentration of HDL particles	18
Crisps liking	18
Decaffeinated coffee consumption and/or neuroticism	18
Dementia with Lewy bodies	18
Direct bilirubin levels	18
Docosahexaenoic acid levels	18
F-cheese liking (derived food-liking factor)	18
Free cholesterol to total lipids ratio in large HDL	18
Intraocular pressure	18
Lewy body disease	18
Multiple sclerosis	18
Neuropsychiatric disorders	18
Nicotine metabolite ratio in current smokers	18
Occupational attainment	18
Phosphatidylcholine_33:2_[M+OAc]1-/Phosphatidylserine_37:1_[M-H]1- levels	18
Phospholipid levels in large HDL	18
Phospholipids to total lipids ratio in small LDL	18
Quantitative traits	18
Sphingomyelin levels	18
Total triglycerides levels	18
Triacylglyceride levels	18
Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	18
White matter hyperintensity volume	18
Anxiety/tension (special factor of neuroticism)	17
Caffeine consumption from coffee	17
Cognitive impairment test score	17
Free cholesterol levels in medium HDL	17
Free cholesterol levels in very large VLDL	17
Insomnia symptoms (never/rarely vs. sometimes/usually)	17
Maximum habitual alcohol consumption	17
Medication use (thyroid preparations)	17
Mood instability	17
Neuroticism conditioned on self-rated math ability (multi-trait conditioning and joint analysis)	17
Parental longevity (combined parental attained age, Martingale residuals)	17
Phospholipids to total lipids ratio in medium HDL	17
Phospholipids to total lipids ratio in very large HDL	17
Physical activity (overall physical activity time)	17
Sense of smell	17
Sensitivity to environmental stress and adversity	17
Total lipid levels in VLDL	17
Total PHF-tau (SNP x SNP interaction)	17
Triglyceride levels in LDL	17
Triglyceride levels in medium LDL	17
White matter hyperintensity volume (adjusted for hypertension)	17
Allergic disease (asthma, hay fever or eczema)	16
Alzheimer's disease or family history of Alzheimer's disease	16
Atrial fibrillation	16
Bipolar I disorder	16
Bitter non-alcoholic beverage consumption	16
Body fat mass	16
Body mass index (age>50)	16
Brain imaging measurements	16
Breast cancer (estrogen-receptor negative)	16
Childhood obesity	16
Cholesterol levels in large HDL	16
Cholesterol levels in large VLDL	16
Cholesteryl ester levels in large HDL	16
Core binding factor acute myeloid leukemia	16
Degree of unsaturation	16
Extremely high intelligence	16
F-savour/caloric food liking (derived food-liking factor)	16
FEV1	16
Fibrinogen levels	16
Free cholesterol levels in large VLDL	16
Free testosterone levels	16
Hip circumference variance	16
Hypothyroidism	16
Immature fraction of reticulocytes	16
LDL cholesterol levels in current drinkers	16
Lean body mass	16
Lipid metabolism phenotypes	16
Lysophosphatidylcholine-2O_18:0_[M+H]1+ levels	16
Lysophosphatidylethanolamine-P_20:0_[M-H]1- levels	16
Male puberty timing (age at voice breaking MTAG)	16
Neck circumference	16
Neuroticism conditioned on average household income before tax (multi-trait conditioning and joint analysis)	16
Neuroticism conditioned on cognitive performance (multi-trait conditioning and joint analysis)	16
Neuroticism conditioned on educational attainment (multi-trait conditioning and joint analysis)	16
Neutrophil percentage of white cells	16
Ovarian cancer in BRCA1 mutation carriers	16
Phosphatidylinositol_35:0_[M-H]1- levels	16
Phospholipids to total lipids ratio in large VLDL	16
Psoriasis	16
Red blood cell fatty acid levels	16
Relative sugar intake	16
Shellfish liking	16
Subscapular skin fold thickness	16
Total lipid levels in large VLDL	16
Triglyceride levels in small LDL	16
Triglyceride levels in small VLDL	16
Triglyceride levels in very small VLDL	16
Ulcerative colitis	16
Verbal learning	16
Verbal short term memory (paragraph recall test)	16
Waist circumference variance	16
Adolescent idiopathic scoliosis	15
Alzheimer's disease (age of onset)	15
Autism spectrum disorder	15
Birth weight	15
BMI at 7 years old	15
BMI at 8 years old	15
Body mass index variance	15
Brain imaging	15
Cholesterol to total lipids ratio in large HDL	15
Cholesterol to total lipids ratio in medium HDL	15
Cholesteryl ester levels in chylomicrons and extremely large VLDL	15
Cholesteryl esters to total lipids ratio in large HDL	15
Cholesteryl esters to total lipids ratio in medium HDL	15
Cholesteryl esters to total lipids ratio in very small VLDL	15
Concentration of large VLDL particles	15
Concentration of medium HDL particles	15
Diastolic blood pressure x depressive symptoms interaction (2df test)	15
Eczema	15
Estimated glomerular filtration rate (cystatin c)	15
F-chocolate/coffee liking (derived food-liking factor)	15
F-deep fried food liking (derived food-liking factor)	15
Free cholesterol to total lipids ratio in large LDL	15
Free cholesterol to total lipids ratio in medium HDL	15
Free cholesterol to total lipids ratio in medium LDL	15
Fresh fruit consumption	15
Gallstone disease	15
Insulin-like growth factor 1 levels	15
Left-handedness	15
Lipoprotein (a) levels	15
Lipoprotein-associated phospholipase A2 activity and mass	15
Lymphocyte percentage of white cells	15
Monocyte percentage of white cells	15
Neuroticism conditioned on highest math class (multi-trait conditioning and joint analysis)	15
Non-albumin protein levels	15
Osteoarthrosis (time to event)	15
Parental lifespan	15
Parental longevity (combined parental age at death)	15
Phospholipid levels in large VLDL	15
Ratio of omega-6 fatty acids to omega-3 fatty acids	15
Ratio of triglycerides to phosphoglycerides	15
Saturated fatty acid levels	15
Smoked fish liking	15
Tonsillectomy	15
Total fatty acid levels	15
Total lipid levels in large HDL	15
Total lipid levels in medium HDL	15
Triglyceride levels in large LDL	15
Triglyceride levels in large VLDL	15
Triglyceride levels in medium VLDL	15
Triglycerides to total lipids ratio in very small VLDL	15
Waist circumference adjusted for BMI in active individuals	15
Blood glucose levels	14
Breast size	14
Childhood body fatness	14
Cholesterol to total lipids ratio in very small VLDL	14
Cholesteryl ester levels in large VLDL	14
Cingulate cortical amyloid beta load	14
Concentration of large HDL particles	14
Concentration of very large VLDL particles	14
Cortical thickness (MOSTest)	14
Epithelial ovarian cancer	14
Essential hypertension (time to event)	14
F-strong flavour liking (derived food-liking factor)	14
Free cholesterol levels in large HDL	14
Ideal cardiovascular health score (clinical and behavioral)	14
Lamb consumption	14
Longevity (age >90th survival percentile)	14
Longevity (age >99th survival percentile)	14
Mackerel liking	14
Moderate to vigorous physical activity levels	14
Non-oily fish consumption	14
Obese vs. thin	14
Phosphatidylcholine_39:6_[M+OAc]1- levels	14
Phosphoglycerides levels	14
Phospholipid levels in medium HDL	14
Phospholipid levels in very large VLDL	14
Phospholipids to total lipids ratio in large LDL	14
Phospholipids to total lipids ratio in medium VLDL	14
Post-traumatic stress disorder (mental health questionnaire or predicted)	14
Ratio of docosahexaenoic acid to total fatty acid levels	14
Ratio of polyunsaturated fatty acids to monounsaturated fatty acids	14
Raw carrot liking	14
Salami liking	14
Schizophrenia vs ADHD (ordinary least squares (OLS))	14
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)	14
Total cholines levels	14
Total Lysophosphatidylethanolamine levels	14
Triglyceride levels x short total sleep time interaction (2df test)	14
Triglycerides to total lipids ratio in medium HDL	14
Triglycerides to total lipids ratio in small HDL	14
Tyrosine levels	14
Venous thromboembolism	14
Verbal learning (visual presentation)	14
Apolipoprotein E (isoform E4) levels	13
Apolipoprotein E levels	13
Body fat percentage or coronary artery disease (MTAG)	13
C-reactive protein levels or triglyceride levels (pleiotropy)	13
Cholesterol to total lipids ratio in large LDL	13
Cholesteryl ester levels in HDL	13
Cholesteryl ester levels in very large HDL	13
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	13
Cognitive decline (age-related)	13
Diacylglycerol_44:7_[M+H-H2O]1+ levels	13
F-strong vegetable liking (derived food-liking factor)	13
Fasting linoleic acid (18:2)	13
Free cholesterol to total lipids ratio in small VLDL	13
Intake of total sugars	13
Leisure sedentary behaviour (computer use)	13
Lymphocyte-to-monocyte ratio	13
Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)	13
Morning vs. evening chronotype	13
Parental longevity (father's age at death)	13
Phospholipids to total lipids ratio in small VLDL	13
Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)	13
Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)	13
Porridge liking	13
Postprandial linoleic acid (18:2)	13
Ratio of polyunsaturated fatty acids to total fatty acids	13
Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	13
Strenuous sports or other exercises	13
Total concentration of lipoprotein particles	13
Total phospholipid levels in lipoprotein particles	13
Vigorous physical activity	13
Alzheimer disease and age of onset	12
Amyloid beta positivity in normal cognition	12
Basophil count	12
Beef consumption	12
Body mass index (age <50)	12
Cerebrospinal fluid p-tau levels	12
Cholesterol levels in very large HDL	12
Cholesterol to total lipids ratio in IDL	12
Cholesterol to total lipids ratio in medium LDL	12
Cholesterol to total lipids ratio in medium VLDL	12
Cholesteryl esters to total lipids ratio in IDL	12
Cholesteryl esters to total lipids ratio in medium VLDL	12
Cholesteryl esters to total lipids ratio in small LDL	12
Cholesteryl esters to total lipids ratio in small VLDL	12
Coffee max liking	12
Concentration of very large HDL particles	12
Cortical volume	12
COVID-19 (critical illness vs population or mild symptoms)	12
COVID-19 (hospitalized vs population)	12
Croissant liking	12
F-coffee/alcohol liking (derived food-liking factor)	12
Familial combined hyperlipidemia defined by Consensus criteria	12
Free cholesterol levels in HDL	12
Free cholesterol levels in large LDL	12
Free cholesterol levels in very large HDL	12
Free cholesterol to total lipids ratio in very small VLDL	12
Glucose levels	12
Granulocyte count	12
Hair color	12
Hepatocyte growth factor-like protein levels	12
Hippocampus volume change rate x age interaction (2df)	12
Horseradish liking	12
Idiopathic pulmonary fibrosis	12
Lipid traits	12
Lung adenocarcinoma	12
Lysophosphatidylcholine (20:1) [sn1] levels	12
Medication use (anilides)	12
Myeloid white cell count	12
Neuroticism (MTAG)	12
Ovarian cancer	12
Phosphatidate(45:6)_[M-H]1- levels	12
Phosphatidylcholine-O_32:1_[M+H]1+/Phosphatidylcholine-P_32:0_[M+H]1+/Phosphatidylethanolamine-O_35:1_[M+H]1+ levels	12
Phosphatidylcholine-O_34:1_[M+H]1+/Phosphatidylcholine-P_34:0_[M+H]1+/Phosphatidylethanolamine-O_37:1_[M+H]1+ levels	12
Phosphatidylcholine-O(36:4)_[M+H]1+/Phosphatidylcholine-P(36:3)_[M+H]1+ levels	12
Phosphatidylcholine(36:4)_[M+H]1+/Phosphatidylethanolamine(39:4)_[M+H]1+/Phosphatidate(41:5)_[M+NH4]1+ levels	12
Phosphatidylcholine(40:8)_[M+H]1+ levels	12
Phosphatidylinositol(36:3)_[M-H]1- levels	12
Phospholipid levels in HDL	12
Phospholipid levels in very large HDL	12
Phospholipids to total lipids ratio in very small VLDL	12
Platelet-to-lymphocyte ratio	12
Polyunsaturated fatty acid levels	12
Ratio of omega-3 fatty acids to total fatty acids	12
Relative protein intake	12
Schizophrenia vs anorexia nervosa (ordinary least squares (OLS))	12
Self-reported risk-taking behaviour	12
Sleep duration (long sleep)	12
Sphingomyelin_34:0_[M+H]1+ levels	12
Sphingomyelin_34:1_[M+H]1+ levels	12
Suffering from nerves	12
Sum neutrophil eosinophil counts	12
Sweet beverage consumption	12
Tea intake (UKB data field 1488)	12
Total lipid levels in lipoprotein particles	12
Total lipid levels in small LDL	12
Total lipid levels in very large HDL	12
Triglycerides to total lipids ratio in large HDL	12
Triglycerides to total lipids ratio in large LDL	12
Triglycerides to total lipids ratio in medium LDL	12
Triglycerides to total lipids ratio in medium VLDL	12
Triglycerides to total lipids ratio in small VLDL	12
Alzheimer's disease (late onset)	11
Asthma (childhood onset)	11
Balding type 1	11
Beef/steak liking	11
Body fat percentage or heart failure (MTAG)	11
C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	11
Caffeine consumption	11
Cannabis smoking or cigarette smoking or schizophrenia	11
Cerebral amyloid angiopathy	11
Cholesterol levels in chylomicrons and extremely large VLDL	11
Cholesteryl ester levels in very large VLDL	11
Concentration of IDL particles	11
F-capsicum liking (derived food-liking factor)	11
F-healthy breakfast food liking (derived food-liking factor)	11
F-meat liking (derived food-liking factor)	11
Fasting apolipoprotein B	11
Fasting cholesterol esters in very small VLDL	11
Fasting polyunsaturated fatty acids	11
Fasting remnant cholesterol	11
Fasting total lipids in very small VLDL	11
Fibrinogen levels or factor VII levels (pleiotropy)	11
Free cholesterol levels in chylomicrons and extremely large VLDL	11
HDL cholesterol levels x short total sleep time interaction (2df test)	11
Hypertriglyceridemia	11
Lager liking	11
Omega-3 fatty acid levels	11
Parental longevity (father's attained age)	11
Phospholipids to total lipids ratio in medium LDL	11
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	11
Postprandial apolipoprotein B	11
Postprandial omega-6 fatty acids	11
Postprandial polyunsaturated fatty acids	11
Postprandial remnant cholesterol	11
Postprandial total lipids in very small VLDL	11
Smoking status (current vs never)	11
Subcortical brain region volumes	11
Sunburns	11
Thioredoxin domain-containing protein 12 levels	11
Thyroid stimulating hormone levels	11
Total cerebellar volume (excluding Crus I vermis)	11
Total esterified cholesterol levels	11
Total free cholesterol levels	11
Total omega-3 fatty acid levels	11
Triglyceride levels in HDL	11
Triglyceride levels in IDL	11
Triglyceride levels in medium HDL	11
Triglyceride levels in small HDL	11
Triglyceride levels in very large HDL	11
Triglyceride levels x long total sleep time interaction (2df test)	11
Triglycerides to total lipids ratio in IDL	11
Triglycerides to total lipids ratio in small LDL	11
Triglycerides to total lipids ratio in very large HDL	11
Urinary metabolites (H-NMR features)	11
Urinary tract infection frequency	11
Venous thromboembolism or fibrinogen levels (pleiotropy)	11
Verbal short term memory	11
Youthful appearance (self-reported)	11
Alanine levels	10
Angina pectoris	10
aparc-Desikan rh area TotalSurface	10
aparc-DKTatlas lh area fusiform	10
aseg global volume BrainSegNotVent	10
aseg global volume BrainSegNotVentSurf	10
aseg global volume SupraTentorialNotVent	10
Asthma (adult onset)	10
Bread consumption (slices per week) (UKB data field 1438)	10
Butternut squash liking	10
Cannabis use	10
Cholesterol levels in IDL	10
Cholesterol levels in medium LDL	10
Cholesteryl ester levels in IDL	10
Cholesteryl ester levels in LDL	10
Cholesteryl ester levels in very small VLDL	10
Cholesteryl esters to total lipids ratio in large VLDL	10
Concentration of chylomicrons and extremely large VLDL particles	10
Concentration of LDL particles	10
Concentration of small LDL particles	10
Coronary artery disease or tissue plasminogen activator levels (pleiotropy)	10
Cortical surface area (global PC1)	10
Corticobasal degeneration	10
Cryptic phenotype that captures alpha-1-antitrypsin deficiency severity	10
Dementia and core Alzheimer's disease neuropathologic changes	10
Executive function (trail making test B)	10
F-caffeinated/sweet liking (derived food-liking factor)	10
F-cooking vegetables liking (derived food-liking factor)	10
F-fatty/dairy food liking (derived food-liking factor)	10
F-sauces liking (derived food-liking factor)	10
F-vegetarian liking (derived food-liking factor)	10
Fasting glucose adjusted for BMI	10
Fasting omega-3 fatty acids	10
Fibrinogen levels or factor VII levels or factor XI levels or tissue plasminogen activator levels (pleiotropy)	10
Free cholesterol levels in IDL	10
Free cholesterol levels in small HDL	10
Free cholesterol levels in small VLDL	10
Free cholesterol to total lipids ratio in medium VLDL	10
Free cholesterol to total lipids ratio in very large HDL	10
Generalized epilepsy	10
Glaucoma (primary open-angle)	10
Heart failure	10
IDP dMRI TBSS L3 Genu of corpus callosum	10
IDP dMRI TBSS MD Anterior limb of internal capsule R	10
Intracranial volume	10
Ischemic stroke	10
JT interval	10
LDL cholesterol levels x short total sleep time interaction (2df test)	10
Low hand grip strength (60 years and older) (EWGSOP)	10
Metabolic traits	10
Milky sweets liking	10
Moderate-to-vigorous intensity physical activity during leisure time	10
Neutrophil-to-lymphocyte ratio	10
Nicotine dependence	10
Omega-6 fatty acid levels	10
PCSK9 levels	10
Peak expiratory flow	10
Phosphatidylcholine-ether levels	10
Phosphatidylcholine-O_31:0_[M+H]1+/Phosphatidylethanolamine-O_34:0_[M+H]1+ levels	10
Phosphatidylinositol-O_36:1_[M+H]1+ levels	10
Phospholipid levels in chylomicrons and extremely large VLDL	10
Phospholipid levels in small LDL	10
Phospholipid levels in very small VLDL	10
Phospholipid levels in VLDL	10
Phospholipids to total lipids ratio in large HDL	10
Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	10
Post-traumatic stress disorder (phenotype risk score)	10
PR interval	10
Ratio of saturated fatty acids to total fatty acids	10
Red meat liking	10
Sedentary behavior at work	10
Serum phosphate levels	10
Spicy food liking	10
Subjective well-being (MTAG)	10
Sum basophil neutrophil counts	10
Systolic blood pressure x depressive symptoms interaction (2df test)	10
ThalamNuclei lh volume VAmc	10
Total lipid levels in chylomicrons and extremely large VLDL	10
Total lipid levels in IDL	10
Total lipid levels in LDL	10
Triglyceride levels in chylomicrons and extremely large VLDL	10
Uric acid levels	10
Vascular endothelial growth factor levels	10
Abdominal aortic aneurysm	9
Abdominal subcutaneous adipose tissue volume	9
Adiposity	9
Age at adiposity rebound	9
Age at menopause	9
Alzheimer's disease (age of onset) in APOE e4 non-carriers	9
Alzheimer's disease (onset between ages 58 and 79)	9
aparc-Desikan lh area fusiform	9
aparc-Desikan lh area TotalSurface	9
aseg global volume BrainSeg	9
Attention deficit hyperactivity disorder (MTAG)	9
Average diameter for VLDL particles	9
Barrett's esophagus	9
Basal metabolic rate	9
Basal metabolic rate variance	9
Bipolar disorder or body mass index	9
Blood metabolite ratios	9
Body mass index (age interaction)	9
Body mass index and bone mineral density (pleiotropy)	9
Body mass index x age interaction	9
Bone mineral density or leg lean mass (pleiotropy)	9
Brussel sprout liking	9
Cardiovascular disease risk factors	9
Celiac disease	9
Cholesterol levels in large LDL	9
Cholesterol levels in medium VLDL	9
Cholesterol levels in small LDL	9
Cholesterol to total lipids ratio in small VLDL	9
Cholesterol to total lipids ratio in very large VLDL	9
Cholesteryl ester levels	9
Cholesteryl ester levels in large LDL	9
Cholesteryl ester levels in small VLDL	9
Cholesteryl esters to total lipids ratio in large LDL	9
Cholesteryl esters to total lipids ratio in very large VLDL	9
Clinical LDL cholesterol levels	9
Coffee difference liking	9
Cognitive decline	9
Concentration of large LDL particles	9
Concentration of small VLDL particles	9
Concentration of very small VLDL particles	9
Coronary artery disease or plasminogen activator inhibitor 1 levels (pleiotropy)	9
F-cake/biscuits liking (derived food-liking factor)	9
F-glutamate liking (derived food-liking factor)	9
F-salty food liking (derived food-liking factor)	9
F-sodas liking (derived food-liking factor)	9
Factor VII activity	9
Feeling lonely	9
Free cholesterol levels in LDL	9
Free cholesterol levels in medium LDL	9
Free cholesterol levels in very small VLDL	9
Free cholesterol to total lipids ratio in small LDL	9
Free cholesterol to total lipids ratio in very large VLDL	9
Glomerular filtration rate	9
Glycoprotein acetyls levels	9
HDL cholesterol levels x long total sleep time interaction (2df test)	9
Headache	9
Hearing loss	9
Hyperopia	9
Hypertrophic cardiomyopathy	9
IDP dMRI TBSS ICVF Superior fronto-occipital fasciculus R	9
IDP dMRI TBSS L1 Superior longitudinal fasciculus R	9
IDP dMRI TBSS L3 Anterior limb of internal capsule R	9
IDP T1 SIENAX brain-normalised volume	9
IDP T1 SIENAX brain-unnormalised volume	9
IDP T1 SIENAX white normalised volume	9
IDP T1 SIENAX white unnormalised volume	9
Interstitial lung disease	9
Intracranial aneurysm	9
Ischemic stroke or fibrinogen levels (pleiotropy)	9
LDL cholesterol levels x long total sleep time interaction (2df test)	9
Leg lean mass	9
Medication use (adrenergics, inhalants)	9
Mosquito bite size	9
Peripheral artery disease	9
Phospholipid levels in IDL	9
Phospholipid levels in large LDL	9
Phospholipid levels in LDL	9
Phospholipid levels in medium LDL	9
Platelet aggregation	9
Preeclampsia (maternal genotype effect)	9
Primary sclerosing cholangitis	9
Psoriasis or type 2 diabetes (trans-disease meta-analysis)	9
Regular attendance at a pub or social club	9
Schizophrenia vs autism spectrum disorder (ordinary least squares (OLS))	9
Sphingomyelin_38:1_[M+H]1+ levels	9
Substance use disorders (time to event)	9
Tea with sugar liking	9
Total cholesterol minus HDL-C levels	9
Total lipid levels in large LDL	9
Total lipid levels in medium LDL	9
Total lipid levels in small VLDL	9
Total lipid levels in very large VLDL	9
Total lipid levels in very small VLDL	9
Total omega-6 fatty acid levels	9
Triglyceride levels in very large VLDL	9
Triglyceride levels in VLDL	9
Triglycerides to total lipids ratio in very large VLDL	9
Urate levels in overweight individuals	9
Vitiligo	9
6-month creatinine clearance change response to tenofovir treatment in HIV infection (treatment arm interaction)	8
Adult onset asthma or type 2 diabetes	8
Age-related hearing impairment (MTAG)	8
Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	8
Alcohol use disorder (dependence and problematic use scores)	8
Alzheimer's disease in APOE e4- carriers	8
Apple juice liking	8
Asthma and major depressive disorder	8
Biomedical quantitative traits	8
Blood pressure	8
Blood protein levels in cardiovascular risk	8
Body fat percentage variance	8
Body mass in chronic obstructive pulmonary disease	8
Body mass index (SNP x SNP interaction)	8
C-reactive protein levels or total cholesterol levels (pleiotropy)	8
Caffeine metabolism (plasma 1,3-dimethylxanthine (theophylline) level)	8
Carotid intima media thickness (mean)	8
Cerebrospinal P-tau181p levels	8
Chicken liking	8
Childhood ear infection	8
Cholesterol levels in small HDL	8
Cholesterol levels in small VLDL	8
Cholesterol to total lipids ratio in large VLDL	8
Cholesterol to total lipids ratio in small HDL	8
Cholesteryl ester (20:4) levels	8
Cholesteryl ester (20:5) levels	8
Cholesteryl ester levels in medium LDL	8
Cholesteryl ester levels in medium VLDL	8
Cholesteryl esters to total lipids ratio in medium LDL	8
Concentration of medium LDL particles	8
Concentration of small HDL particles	8
Coronary artery disease or fibrinogen levels (pleiotropy)	8
Decaffeinated coffee consumption and/or lifetime cannabis use	8
Dentures	8
Diacylglycerol_32:2_[M+H-H2O]1+ levels	8
Diacylglycerol_34:3_[M+H-H2O]1+ levels	8
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)	8
Estimated glomerular filtration rate in diabetes	8
F-dessert liking (derived food-liking factor)	8
F-healthy food liking (derived food-liking factor)	8
F-highly palatable foods liking (derived food-liking factor)	8
Fasting blood insulin	8
Fasting free cholesterol in medium VLDL	8
Fasting medium VLDL particle concentration	8
Fasting monounsaturated fatty acids (16:1, 18:1)	8
Fasting phospholipid levels in medium VLDL	8
Fasting total fatty acids	8
Fasting total lipids in medium VLDL	8
Free cholesterol levels in medium VLDL	8
Free cholesterol levels in VLDL	8
Free cholesterol to total lipids ratio in IDL	8
Free cholesterol to total lipids ratio in large VLDL	8
Fruit juice liking	8
Gondoic acid (20:1n-9) levels	8
HbA1c or polycystic ovary syndrome (pleiotropy)	8
HDL cholesterol x physical activity interaction (2df test)	8
Height adjusted BMI	8
Help-seeking from a GP	8
Hippocampal atrophy rate	8
Honey liking	8
IDP dMRI ProbtrackX L1 str r	8
IDP dMRI TBSS ICVF Anterior limb of internal capsule R	8
IDP dMRI TBSS L2 Genu of corpus callosum	8
IDP dMRI TBSS MD Anterior limb of internal capsule L	8
Kidney volume	8
Lean mass index	8
Liver fat content (MRI proton density fat fraction measure)	8
Longevity (90 years and older)	8
Low testosterone levels	8
Male puberty timing (early vs. average onset facial hair)	8
Medication use (opioids)	8
Microalbuminuria	8
Number of decayed, missing and filled tooth surfaces or use of dentures	8
Obstructive sleep apnea	8
Oleic acid (18:1n-9) levels	8
Orange juice liking	8
Palmitoleic acid (16:1n-7) levels	8
Parental longevity (both parents in top 10%)	8
Percent liver fat	8
Phosphatidylcholine-2O_32:0_[M+H]1+ levels	8
Phosphatidylcholine-O_30:1_[M+H]1+/Phosphatidylcholine-P_30:0_[M+H]1+/Phosphatidylethanolamine-O_33:1_[M+H]1+ levels	8
Phosphatidylcholine-O_34:3_[M+H]1+/Phosphatidylcholine-P_34:2_[M+H]1+/Phosphatidylethanolamine-P_37:2_[M+H]1+ levels	8
Phosphatidylcholine-O_36:2_[M+H]1+/Phosphatidylcholine-P_36:1_[M+H]1+/Phosphatidylethanolamine-P_39:1_[M+H]1+ levels	8
Phospholipid levels in small VLDL	8
Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL	8
Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	8
Postprandial free cholesterol in IDL	8
Postprandial free cholesterol in large LDL	8
Postprandial monounsaturated fatty acids (16:1, 18:1)	8
Postprandial phospholipid levels in IDL	8
Postprandial phospholipid levels in medium VLDL	8
Postprandial phospholipid levels in small HDL	8
Postprandial saturated fatty acids	8
Postprandial total fatty acids	8
Postprandial triglyceride levels	8
Pure non-grapefruit juice consumption	8
Ratio of omega-6 fatty acids to total fatty acids	8
Remnant cholesterol (non-HDL, non-LDL -cholesterol)	8
Roast chicken liking	8
Sasang constitutional medicine type (So-Eum)	8
Schizophrenia vs bipolar disorder (ordinary least squares (OLS))	8
Serum type 1 collagen metabolite levels	8
Sex hormone-binding globulin levels in postmenopausal women	8
Sleep apnea syndrome	8
Sugar-sweetened beverage consumption	8
Tea difference liking	8
Total lipid levels in medium VLDL	8
Trauma exposure	8
Triglycerides to total lipids ratio in large VLDL	8
Trunk fat mass	8
Type 2 diabetes (adjusted for BMI)	8
Type 2 diabetes (adjusted for BMI) or polycystic ovary syndrome (pleiotropy)	8
Type 2 diabetes nephropathy	8
Type 2 diabetes nephropathy including microalbuminuria	8
Type 2 diabetes or polycystic ovary syndrome (pleiotropy)	8
Urinary albumin excretion	8
Urinary metabolite levels in chronic kidney disease	8
Urinary potassium excretion	8
Visceral adipose tissue volume	8
Voxel-wise structural brain imaging measurements	8
Waist circumference adjusted for BMI (adjusted for smoking behaviour)	8
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	8
Waist-to-hip ratio adjusted for body mass index	8
White bread liking	8
1-oleoyl-2-linoleoyl-GPE (18:1/18:2) levels in elite athletes	7
Alcohol consumption in current drinkers	7
Alzheimer's disease (onset at age over 80)	7
Alzheimer's disease progression score	7
Ascending aorta maximum area	7
aseg rh intensity Putamen	7
Baked/steamed fish liking	7
Beans liking	7
Body mass index and systole blood pressure (pairwise)	7
Carotid intima media thickness (maximum)	7
Childhood maltreatment	7
Cholesterol levels in very small VLDL	7
Cholesteryl ester levels in small HDL	7
Cholesteryl ester levels in VLDL	7
Concentration of VLDL particles	7
Corneal resistance factor (MTAG)	7
Coronary artery calcification	7
Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)	7
Coronary artery disease or factor VII levels (pleiotropy)	7
Coronary artery disease or von Willebrand factor levels (pleiotropy)	7
Cortical surface area (min-P)	7
Cortical thickness (min-P)	7
COVID-19 (critical illness vs population)	7
Deliberate self-harm	7
Diacylglycerol_34:2_[M+H-H2O]1+ levels	7
Diacylglycerol_36:4_[M+H-H2O]1+ levels	7
F-bitter food liking (derived food-liking factor)	7
F-dairy liking (derived food-liking factor)	7
F-oily fish liking (derived food-liking factor)	7
Familial combined hyperlipidemia defined by Dutch criteria	7
Fasting serum total triglycerides	7
Fasting triglyceride levels	7
